,state,act_composite_mean,part_rate,year,geog_location
1,Alabama,19.2,1,2017,South
2,Alaska,19.8,0.65,2017,West
3,Arizona,19.7,0.62,2017,South
4,Arkansas,19.4,1,2017,South
5,California,22.8,0.31,2017,West
6,Colorado,20.8,1,2017,West
7,Connecticut,25.2,0.31,2017,Northeast
8,Delaware,24.1,0.18,2017,Northeast
9,District of Columbia,24.2,0.32,2017,South
10,Florida,19.8,0.73,2017,South
11,Georgia,21.4,0.55,2017,South
12,Hawaii,19,0.9,2017,West
13,Idaho,22.3,0.38,2017,West
14,Illinois,21.4,0.93,2017,Midwest
15,Indiana,22.6,0.35,2017,Midwest
16,Iowa,21.9,0.67,2017,Midwest
17,Kansas,21.7,0.73,2017,Midwest
18,Kentucky,20,1,2017,South
19,Louisiana,19.5,1,2017,South
20,Maine,24.3,0.08,2017,Northeast
21,Maryland,23.6,0.28,2017,Northeast
22,Massachusetts,25.4,0.29,2017,Northeast
23,Michigan,24.1,0.29,2017,Midwest
24,Minnesota,21.5,1,2017,Midwest
25,Mississippi,18.6,1,2017,South
26,Missouri,20.4,1,2017,Midwest
27,Montana,20.3,1,2017,West
28,Nebraska,21.4,0.84,2017,Midwest
29,Nevada,17.8,1,2017,West
30,New Hampshire,25.5,0.18,2017,Northeast
31,New Jersey,23.9,0.34,2017,Northeast
32,New Mexico,19.7,0.66,2017,South
33,New York,24.2,0.31,2017,Northeast
34,North Carolina,19.1,1,2017,South
35,North Dakota,20.3,0.98,2017,Midwest
36,Ohio,22,0.75,2017,Midwest
37,Oklahoma,19.4,1,2017,South
38,Oregon,21.8,0.4,2017,West
39,Pennsylvania,23.7,0.23,2017,Northeast
40,Rhode Island,24,0.21,2017,Northeast
41,South Carolina,18.7,1,2017,South
42,South Dakota,21.8,0.8,2017,Midwest
43,Tennessee,19.8,1,2017,South
44,Texas,20.7,0.45,2017,South
45,Utah,20.3,1,2017,West
46,Vermont,23.6,0.29,2017,Northeast
47,Virginia,23.8,0.29,2017,South
48,Washington,21.9,0.29,2017,West
49,West Virginia,20.4,0.69,2017,South
50,Wisconsin,20.5,1,2017,Midwest
51,Wyoming,20.2,1,2017,West
0,Alabama,19.1,1,2018,South
1,Alaska,20.8,0.33,2018,West
2,Arizona,19.2,0.66,2018,South
3,Arkansas,19.4,1,2018,South
4,California,22.7,0.27,2018,West
5,Colorado,23.9,0.3,2018,West
6,Connecticut,25.6,0.26,2018,Northeast
7,Delaware,23.8,0.17,2018,Northeast
8,District of Columbia,23.6,0.32,2018,South
9,Florida,19.9,0.66,2018,South
10,Georgia,21.4,0.53,2018,South
11,Hawaii,18.9,0.89,2018,West
12,Idaho,22.3,0.36,2018,West
13,Illinois,23.9,0.43,2018,Midwest
14,Indiana,22.5,0.32,2018,Midwest
15,Iowa,21.8,0.68,2018,Midwest
16,Kansas,21.6,0.71,2018,Midwest
17,Kentucky,20.2,1,2018,South
18,Louisiana,19.2,1,2018,South
19,Maine,24,0.07,2018,Northeast
21,Maryland,22.5,0.31,2018,Northeast
22,Massachusetts,25.5,0.25,2018,Northeast
23,Michigan,24.2,0.22,2018,Midwest
24,Minnesota,21.3,0.99,2018,Midwest
25,Mississippi,18.6,1,2018,South
26,Missouri,20,1,2018,Midwest
27,Montana,20,1,2018,West
28,Nebraska,20.1,1,2018,Midwest
29,Nevada,17.7,1,2018,West
30,New Hampshire,25.1,0.16,2018,Northeast
31,New Jersey,23.7,0.31,2018,Northeast
32,New Mexico,19.4,0.67,2018,South
33,New York,24.5,0.27,2018,Northeast
34,North Carolina,19.1,1,2018,South
35,North Dakota,20.3,0.98,2018,Midwest
36,Ohio,20.3,1,2018,Midwest
37,Oklahoma,19.3,1,2018,South
38,Oregon,21.3,0.42,2018,West
39,Pennsylvania,23.5,0.2,2018,Northeast
40,Rhode Island,24.2,0.15,2018,Northeast
41,South Carolina,18.3,1,2018,South
42,South Dakota,21.9,0.77,2018,Midwest
43,Tennessee,19.6,1,2018,South
44,Texas,20.7,0.45,2018,South
45,Utah,20.4,1,2018,West
46,Vermont,24.1,0.24,2018,Northeast
47,Virginia,23.9,0.24,2018,South
48,Washington,22.2,0.24,2018,West
49,West Virginia,20.3,0.65,2018,South
50,Wisconsin,20.5,1,2018,Midwest
51,Wyoming,20,1,2018,West
0,Alabama,18.9,1,2019,South
1,Alaska,20.1,0.38,2019,West
2,Arizona,19,0.73,2019,South
3,Arkansas,19.3,1,2019,South
4,California,22.6,0.23,2019,West
5,Colorado,23.8,0.27,2019,West
6,Connecticut,25.5,0.22,2019,Northeast
7,Delaware,24.1,0.13,2019,Northeast
8,District of Columbia,23.5,0.32,2019,South
9,Florida,20.1,0.54,2019,South
10,Georgia,21.4,0.49,2019,South
11,Hawaii,19,0.8,2019,West
12,Idaho,22.5,0.31,2019,West
13,Illinois,24.3,0.35,2019,Midwest
14,Indiana,22.5,0.29,2019,Midwest
15,Iowa,21.6,0.66,2019,Midwest
16,Kansas,21.2,0.72,2019,Midwest
17,Kentucky,19.8,1,2019,South
18,Louisiana,18.8,1,2019,South
19,Maine,24.3,0.06,2019,Northeast
20,Maryland,22.3,0.28,2019,Northeast
21,Massachusetts,25.5,0.21,2019,Northeast
22,Michigan,24.4,0.19,2019,Midwest
23,Minnesota,21.4,0.95,2019,Midwest
24,Mississippi,18.4,1,2019,South
25,Missouri,20.8,0.82,2019,Midwest
26,Montana,19.8,1,2019,West
27,Nebraska,20,1,2019,Midwest
28,Nevada,17.9,1,2019,West
29,New Hampshire,25,0.14,2019,Northeast
30,New Jersey,24.2,0.25,2019,Northeast
31,New Mexico,19.3,0.63,2019,South
32,New York,24.5,0.22,2019,Northeast
33,North Carolina,19,1,2019,South
34,North Dakota,19.9,0.96,2019,Midwest
35,Ohio,20,1,2019,Midwest
36,Oklahoma,18.9,1,2019,South
37,Oregon,21.1,0.42,2019,West
38,Pennsylvania,23.6,0.17,2019,Northeast
39,Rhode Island,24.7,0.12,2019,Northeast
40,South Carolina,18.8,0.78,2019,South
41,South Dakota,21.6,0.75,2019,Midwest
42,Tennessee,19.4,1,2019,South
43,Texas,20.5,0.39,2019,South
44,Utah,20.3,1,2019,West
45,Vermont,24.1,0.2,2019,Northeast
46,Virginia,24,0.21,2019,South
47,Washington,22.1,0.24,2019,West
48,West Virginia,20.8,0.49,2019,South
49,Wisconsin,20.3,1,2019,Midwest
50,Wyoming,19.8,1,2019,West
